Utterances,Intent
who are you?,smalltalk_agent_acquaintance
all about you,smalltalk_agent_acquaintance
what can you do,smalltalk_agent_acquaintance
what is your personality,smalltalk_agent_acquaintance
define yourself,smalltalk_agent_acquaintance
what are you,smalltalk_agent_acquaintance
say about you,smalltalk_agent_acquaintance
introduce yourself,smalltalk_agent_acquaintance
describe yourself,smalltalk_agent_acquaintance
about yourself,smalltalk_agent_acquaintance
tell me about you,smalltalk_agent_acquaintance
tell me about yourself,smalltalk_agent_acquaintance
I want to know more about you,smalltalk_agent_acquaintance
I want to know you better,smalltalk_agent_acquaintance
talk some stuff about yourself,smalltalk_agent_acquaintance
tell me some stuff about you,smalltalk_agent_acquaintance
talk about yourself,smalltalk_agent_acquaintance
why are you here,smalltalk_agent_acquaintance
tell me about your personality,smalltalk_agent_acquaintance
who are you,smalltalk_agent_acquaintance
why aren't you talking to me,smalltalk_agent_talk_to_me
do you want to chat with me,smalltalk_agent_talk_to_me
will you talk to me,smalltalk_agent_talk_to_me
talk to me,smalltalk_agent_talk_to_me
are you going to talk to me,smalltalk_agent_talk_to_me
are you talking to me,smalltalk_agent_talk_to_me
can you chat with me,smalltalk_agent_talk_to_me
can you speak with me,smalltalk_agent_talk_to_me
can you talk to me,smalltalk_agent_talk_to_me
can you talk with me,smalltalk_agent_talk_to_me
say,smalltalk_agent_talk_to_me
talk,smalltalk_agent_talk_to_me
chat with me,smalltalk_agent_talk_to_me
just chat with me,smalltalk_agent_talk_to_me
speak to me,smalltalk_agent_talk_to_me
speak with me,smalltalk_agent_talk_to_me
talk with me,smalltalk_agent_talk_to_me
why don't you talk to me,smalltalk_agent_talk_to_me
you can talk to me,smalltalk_agent_talk_to_me
pretty bad,smalltalk_appraisal_bad
not good enough,smalltalk_appraisal_bad
that was lame,smalltalk_appraisal_bad
that was terrible,smalltalk_appraisal_bad
it is bad,smalltalk_appraisal_bad
that's bad,smalltalk_appraisal_bad
this is bad,smalltalk_appraisal_bad
not good,smalltalk_appraisal_bad
I'm afraid it's bad,smalltalk_appraisal_bad
no it's bad,smalltalk_appraisal_bad
that was awful,smalltalk_appraisal_bad
bad,smalltalk_appraisal_bad
so bad,smalltalk_appraisal_bad
this is too bad,smalltalk_appraisal_bad
terrible,smalltalk_appraisal_bad
horrible,smalltalk_appraisal_bad
horrific,smalltalk_appraisal_bad
abysmal,smalltalk_appraisal_bad
it's bad,smalltalk_appraisal_bad
no good,smalltalk_appraisal_bad
that was bad,smalltalk_appraisal_bad
that was horrible,smalltalk_appraisal_bad
that's lame,smalltalk_appraisal_bad
that's not good,smalltalk_appraisal_bad
that's terrible,smalltalk_appraisal_bad
that's too bad,smalltalk_appraisal_bad
this is not good,smalltalk_appraisal_bad
too bad,smalltalk_appraisal_bad
very bad,smalltalk_appraisal_bad
bad girl,smalltalk_appraisal_bad
it's not good,smalltalk_appraisal_bad
not so good,smalltalk_appraisal_bad
it's very bad,smalltalk_appraisal_bad
it's too bad,smalltalk_appraisal_bad
that's not good enough,smalltalk_appraisal_bad
well too bad,smalltalk_appraisal_bad
bad very bad,smalltalk_appraisal_bad
it's so bad,smalltalk_appraisal_bad
really bad,smalltalk_appraisal_bad
it's really bad,smalltalk_appraisal_bad
bad idea,smalltalk_appraisal_bad
that is bad,smalltalk_appraisal_bad
that was not good,smalltalk_appraisal_bad
it's not so good,smalltalk_appraisal_bad
not a good one,smalltalk_appraisal_bad
oh that's not good,smalltalk_appraisal_bad
not too good,smalltalk_appraisal_bad
so lame,smalltalk_appraisal_bad
that's really bad,smalltalk_appraisal_bad
it is too bad,smalltalk_appraisal_bad
bad really bad,smalltalk_appraisal_bad
so cool,smalltalk_appraisal_good
cool,smalltalk_appraisal_good
that is good,smalltalk_appraisal_good
glad to hear that,smalltalk_appraisal_good
that's very nice of you,smalltalk_appraisal_good
terrific,smalltalk_appraisal_good
it's amazing,smalltalk_appraisal_good
that's awesome,smalltalk_appraisal_good
perfect,smalltalk_appraisal_good
excellent,smalltalk_appraisal_good
that's great,smalltalk_appraisal_good
it's good,smalltalk_appraisal_good
it's great,smalltalk_appraisal_good
fine,smalltalk_appraisal_good
good,smalltalk_appraisal_good
nice,smalltalk_appraisal_good
that's fine,smalltalk_appraisal_good
very good,smalltalk_appraisal_good
